ProviderNumber varchar(255),HospitalName varchar(255),Address1 varchar(255),Address2 varchar(255),Address3 varchar(255),City varchar(255),State varchar(255),ZIPCode varchar(255),CountryName varchar(255),PhoneNumber varchar(255),HospitalType varchar(255),HospitalOwner varchar(255),EmergencyService varchar(255),Condition varchar(255),MeasureCode varchar(255),MeasureName varchar(255),Score varchar(255),Sample varchar(255),StateAvg varchar(255)
10145,NORTHPORT MEDICAL CENTER,2700 HOSPITAL DRIVE,,,NORTHPORT,AL,35476,TUSCALOOSA,2053334500,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrivaltypo,99%,84 patients,AL_PN-5C
50129,ST BERNARDINE MEDICAL CENTER,2101 N WATERMAN AVE,,,SAN BERNARDINO,CA,92404,SAN BERNARDINO,9098814440,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,78%,231 patients,CA_SCIP-VTE-2
10032,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,,,WEDOWEE,AL,36278,RANDOLPH,2563572111,Acute Care Hospitals,Government - Local,No,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,67%,3 patients,AL_AMI-5
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,,,FAYETTE,AL,35555,FAYETTE,2059325966,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),87%,79 patients,AL_PN-6
10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,,,FLORENCE,AL,35631,LAUDERDALE,2567688400typo,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,97%,159 patients,AL_AMI-1
40042,CRITTENDEN MEMORIAL HOSPITAL,200 TYLER,,,WEST MEMPHIS,AR,72301,CRITTENDEN,8707351500,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,88%,26 patients,AR_AMI-5
40088,MEDICAL CENTER SOUTH ARKANSAS,700 WEST GROVE STREET,,,EL DORADO,AR,71731typo,UNION,8708632000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,98%,125 patients,AR_AMI-2
50058,GLENDALE MEM HOSPITAL & HLTH CENTER,1420 S CENTRAL AVE,,,GLENDALEtypo,CA,91204,LOS ANGELES,8185021900,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,,0 patients,CA_AMI-7A
40076,HOT SPRING COUNTY MEDICAL CENTER,1001 SCHNEIDER DRIVE,,,MALVERN,AR,72104,HOT SPRING,5013374911,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,90%,10 patients,AR_AMI-1
50261,SIERRA VIEW DISTRICT HOSPITAL,465 W PUTNAM AVE,,,PORTERVILLE,CA,93257,TULARE,5597841110,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,76%,17 patients,CA_AMI-7A
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,,,EVERGREENtypo,AL,36401,CONECUH,2515782480,Acute Care Hospitals,Proprietary,No,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,100%,2 patients,AL_AMI-1
50100,SHARP MEMORIAL HOSPITAL,7901 FROST ST,,,SAN DIEGO,CA,92123,SAN DIEGO,8589393400,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,96%,52 patients,CA_HF-4
30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,,,SCOTTSDALE,AZ,85251,MARICOPA,4808824000,Acute Care Hospitals,Proprietary,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream sC not a razor),100%,603 patients,AZ_SCIP-INF-6
50127,WOODLAND MEMORIAL HOSPITAL,1325 COTTONWOOD STREET,,,WOODLAND,CA,95695,YOLO,5306623961,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,100%,5 patients,CA_AMI-4
40050,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,,,CAMDEN,AR,71701,OUACHITA,8708361000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,,0 patients,AR_AMI-8A
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,400 EAST 10TH STREET,,,ANNISTON,AL,36207,CALHOUN,2562355121,Acute Care Hospitals,Government - Local,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,83%,181 patients,AL_PN-5C
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,,,CAMDEN,AL,36726,WILCOX,3346824131,Acute Care Hospitals,Voluntary non-profit - Other,No,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,,,AL_SCIP-INF-4
40062,ST EDWARD MERCY MEDICAL CENTER,7301 ROGERS AVE,,,FORT SMITH,AR,72917,SEBASTIAN,4793146000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrivaltypo,100%,210 patients,AR_AMI-1
40078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVENUE,,,HOT SPRINGS,AR,71901,GARLAND,5013211000,Acute Care Hospitals,Proprietary,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),94%,16 patients,AR_AMI-3
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,,,DADEVILLE,AL,36853,TALLAPOOSA,2568257821,Acute Care Hospitals,Government - Federal,Yes,Heart Attacktypo,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,,0 patients,AL_AMI-8A
50264,SAN LEANDRO HOSPITAL,13855 E 14TH STREET,,,SAN LEANDRO,CA,94578,ALAMEDA,5106674510,Acute Care Hospitals,Proprietary,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,100%,278 patients,CA_HF-2
21305,WRANGELL MEDICAL CENTER,310 BENNETT STREET PO BOX 1081,,,WRANGELL,AK,99929,WRANGELL PETERSBURG,9078747000,Critical Access Hospitals,Government - Local,No,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,0%,1 patients,AK_HF-1
50055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE-S CAMPUS,3555 CESAR CHAVEZ STREET,,,SAN FRANCISCO,CA,94110,SAN FRANCISCO,4156416562,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),100%,45 patients,CA_HF-3
50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,1601 YGNACIO VALLEY RD,,,WALNUT CREEK,CA,94598,CONTRA COSTA,9259393000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,97%,201 patients,CA_HF-1
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,,,PALMER,AK,99645,MATANUSKA SUSITNA,9077468600,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,82%,152 patients,AK_SCIP-VTE-1
